Date,Fund,Close
2016-11-16,AIR.NZ,1.9800
2016-11-17,AIR.NZ,1.9800
2016-11-20,AIR.NZ,2.0100
2016-11-21,AIR.NZ,2.0100
2016-11-22,AIR.NZ,2.0100
2016-11-23,AIR.NZ,2.0000
2016-11-24,AIR.NZ,2.0350
2016-11-27,AIR.NZ,2.0750
2016-11-28,AIR.NZ,2.1000
2016-11-29,AIR.NZ,2.1600
2016-11-30,AIR.NZ,2.1700
2016-12-01,AIR.NZ,2.1400
2016-12-04,AIR.NZ,2.1500
2016-12-05,AIR.NZ,2.1550
2016-12-06,AIR.NZ,2.1400
2016-12-07,AIR.NZ,2.1750
2016-12-08,AIR.NZ,2.1600
2016-12-11,AIR.NZ,2.1200
2016-12-12,AIR.NZ,2.1250
2016-12-13,AIR.NZ,2.1500
2016-12-14,AIR.NZ,2.1350
2016-12-15,AIR.NZ,2.1200
2016-12-18,AIR.NZ,2.1300
2016-12-19,AIR.NZ,2.1300
2016-12-20,AIR.NZ,2.1450
2016-12-21,AIR.NZ,2.1000
2016-12-22,AIR.NZ,2.1100
2016-12-26,AIR.NZ,2.1100
2016-12-27,AIR.NZ,2.1200
2016-12-28,AIR.NZ,2.1700
2016-12-29,AIR.NZ,2.1950
2017-01-03,AIR.NZ,2.2000
2017-01-04,AIR.NZ,2.2400
2017-01-05,AIR.NZ,2.2500
2017-01-08,AIR.NZ,2.2500
2017-01-09,AIR.NZ,2.2350
2017-01-10,AIR.NZ,2.2400
2017-01-11,AIR.NZ,2.2700
2017-01-12,AIR.NZ,2.2450
2017-01-15,AIR.NZ,2.2400
2017-01-16,AIR.NZ,2.2050
2017-01-17,AIR.NZ,2.2400
2017-01-18,AIR.NZ,2.1800
2017-01-19,AIR.NZ,2.1650
2017-01-22,AIR.NZ,2.1800
2017-01-23,AIR.NZ,2.1900
2017-01-24,AIR.NZ,2.2000
2017-01-25,AIR.NZ,2.1200
2017-01-26,AIR.NZ,2.1350
2017-01-29,AIR.NZ,2.1600
2017-01-30,AIR.NZ,2.1000
2017-01-31,AIR.NZ,2.1100
2017-02-01,AIR.NZ,2.1150
2017-02-02,AIR.NZ,2.1300
2017-02-06,AIR.NZ,2.1100
2017-02-07,AIR.NZ,2.0900
2017-02-08,AIR.NZ,2.1000
2017-02-09,AIR.NZ,2.0950
2017-02-12,AIR.NZ,2.0850
2017-02-13,AIR.NZ,2.0900
2017-02-14,AIR.NZ,2.0950
2017-02-15,AIR.NZ,2.1350
2017-02-16,AIR.NZ,2.1600
